location,prescription-opiate-misuse,youth-binge-drinking,adult-binge-drinking,smoking-during-pregnancy,adult-smoking,youth-smoking,adult-e-cigarette-use,youth-fruit-and-vegetable-servings,youth-soda-consumption,youth-physical-activity,adult-fruit-and-vegetable-servings,adult-physical-inactivity,adult-soda-consumption,teen-birth-rate,youth-condom-use
albany-park,,,,,,,,,,,,,,60,
archer-heights,,,,,,,,,,,,,,21,
armour-square,,,,,,,,,,,,,,8,
ashburn,,,,,,,,,,,,,,46,
auburn-gresham,,,,,,,,,,,,,,108,
austin,,,,,,,,,,,,,,265,
avalon-park,,,,,,,,,,,,,,13,
avondale,,,,,,,,,,,,,,53,
belmont-cragin,,,,,,,,,,,,,,147,
beverly,,,,,,,,,,,,,,5,
bridgeport,,,,,,,,,,,,,,26,
brighton-park,,,,,,,,,,,,,,84,
burnside,,,,,,,,,,,,,,9,
calumet-heights,,,,,,,,,,,,,,17,
chatham,,,,,,,,,,,,,,58,
chicago-lawn,,,,,,,,,,,,,,145,
clearing,,,,,,,,,,,,,,18,
douglas,,,,,,,,,,,,,,21,
dunning,,,,,,,,,,,,,,18,
east-garfield-park,,,,,,,,,,,,,,70,
east-side,,,,,,,,,,,,,,40,
edgewater,,,,,,,,,,,,,,21,
edison-park,,,,,,,,,,,,,,0,
englewood,,,,,,,,,,,,,,109,
forest-glen,,,,,,,,,,,,,,3,
fuller-park,,,,,,,,,,,,,,8,
gage-park,,,,,,,,,,,,,,94,
garfield-ridge,,,,,,,,,,,,,,29,
grand-boulevard,,,,,,,,,,,,,,41,
greater-grand-crossing,,,,,,,,,,,,,,92,
hegewisch,,,,,,,,,,,,,,10,
hermosa,,,,,,,,,,,,,,51,
humboldt-park,,,,,,,,,,,,,,157,
hyde-park,,,,,,,,,,,,,,4,
irving-park,,,,,,,,,,,,,,47,
jefferson-park,,,,,,,,,,,,,,10,
kenwood,,,,,,,,,,,,,,13,
lake-view,,,,,,,,,,,,,,6,
lincoln-park,,,,,,,,,,,,,,3,
lincoln-square,,,,,,,,,,,,,,13,
logan-square,,,,,,,,,,,,,,80,
loop,,,,,,,,,,,,,,2,
lower-west-side,,,,,,,,,,,,,,54,
mckinley-park,,,,,,,,,,,,,,22,
montclare,,,,,,,,,,,,,,,
morgan-park,,,,,,,,,,,,,,27,
mount-greenwood,,,,,,,,,,,,,,4,
near-north-side,,,,,,,,,,,,,,18,
near-south-side,,,,,,,,,,,,,,6,
near-west-side,,,,,,,,,,,,,,56,
new-city,,,,,,,,,,,,,,126,
north-center,,,,,,,,,,,,,,5,
north-lawndale,,,,,,,,,,,,,,140,
north-park,,,,,,,,,,,,,,5,
norwood-park,,,,,,,,,,,,,,5,
oakland,,,,,,,,,,,,,,12,
ohare,,,,,,,,,,,,,,3,
portage-park,,,,,,,,,,,,,,45,
pullman,,,,,,,,,,,,,,10,
riverdale,,,,,,,,,,,,,,19,
rogers-park,,,,,,,,,,,,,,48,
roseland,,,,,,,,,,,,,,111,
south-chicago,,,,,,,,,,,,,,79,
south-deering,,,,,,,,,,,,,,34,
south-lawndale,,,,,,,,,,,,,,176,
south-shore,,,,,,,,,,,,,,99,
uptown,,,,,,,,,,,,,,26,
washington-heights,,,,,,,,,,,,,,51,
washington-park,,,,,,,,,,,,,,40,
west-elsdon,,,,,,,,,,,,,,22,
west-englewood,,,,,,,,,,,,,,141,
west-garfield-park,,,,,,,,,,,,,,78,
west-lawn,,,,,,,,,,,,,,58,
west-pullman,,,,,,,,,,,,,,77,
west-ridge,,,,,,,,,,,,,,54,
west-town,,,,,,,,,,,,,,53,
woodlawn,,,,,,,,,,,,,,59,
